NewPop,MLG_199,MLG_266,MLG_205,MLG_207,MLG_219,MLG_230,MLG_278,MLG_346,All MLGs,Doms,Rares,FR_199,FR_266,FR_205,FR_207,FR_219,FR_230,FR_278,FR_346,Fr_Rares
AC,8,2,0,0,0,0,0,0,18,10,8,0.444444444,0.111111111,0,0,0,0,0,0,0.444444444
AL,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,1
BB_A,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0,0,1
BB_B,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,1
BWK1,6,8,0,0,0,0,0,1,18,14,4,0.333333333,0.444444444,0,0,0,0,0,0.08,0.222222222
BWK2,1,19,0,0,0,1,0,0,28,20,8,0.035714286,0.678571429,0,0,0,0.04,0,0,0.285714286
EF,5,5,0,0,0,0,0,0,30,10,20,0.166666667,0.166666667,0,0,0,0,0,0,0.666666667
FMC1,21,0,2,0,0,0,0,0,30,21,9,0.7,0,0.07,0,0,0,0,0,0.3
FMC2,11,0,0,0,3,0,0,0,15,11,4,0.733333333,0,0,0,0.2,0,0,0,0.266666667
GM,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,1
GWP,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,1
HCK1,23,0,1,0,0,0,0,0,30,23,7,0.766666667,0,0.03,0,0,0,0,0,0.233333333
HCK2,13,0,0,0,0,0,0,0,25,13,12,0.52,0,0,0,0,0,0,0,0.48
LC,22,0,0,1,0,4,0,0,30,22,8,0.733333333,0,0,0.03,0,0.13,0,0,0.266666667
LSP,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,1
MF,12,1,0,0,0,0,0,0,30,13,17,0.4,0.033333333,0,0,0,0,0,0,0.566666667
MWC,0,0,0,0,0,0,0,0,41,0,41,0,0,0,0,0,0,0,0,1
NC,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,0,0,1
OJ,11,1,0,0,0,1,0,0,15,12,3,0.733333333,0.066666667,0,0,0,0.07,0,0,0.2
PB,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1
PL,0,29,0,0,0,0,0,0,29,29,0,0,1,0,0,0,0,0,0,0
POR1,2,20,0,0,0,0,0,0,32,22,10,0.0625,0.625,0,0,0,0,0,0,0.3125
POR2,2,23,1,0,0,0,0,0,30,25,5,0.066666667,0.766666667,0.05,0,0,0,0,0,0.166666667
PR,17,0,0,0,0,0,0,0,21,17,4,0.80952381,0,0,0,0,0,0,0,0.19047619
PTR_A,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,1
PTR_B,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,1
SHC,12,0,0,0,0,0,0,0,14,12,2,0.857142857,0,0,0,0,0,0,0,0.142857143
SJR,19,0,2,0,0,1,0,0,29,19,10,0.655172414,0,0.07,0,0,0.04,0,0,0.344827586
SL,1,1,0,0,0,0,0,0,25,2,23,0.04,0.04,0,0,0,0,0,0,0.92
SWP,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,1
TC,22,0,1,1,0,0,0,0,29,22,7,0.75862069,0,0.03,0.03,0,0,0,0,0.24137931
TL,1,1,0,0,0,0,0,0,5,2,3,0.2,0.2,0,0,0,0,0,0,0.6
WF1,5,6,0,0,0,0,0,1,20,11,9,0.25,0.3,0,0,0,0,0,0.05,0.45
WF2,6,11,0,0,1,0,1,0,28,17,11,0.214285714,0.392857143,0,0,0.04,0,0.04,0,0.392857143
WSP1,2,6,0,0,0,0,1,0,21,8,13,0.095238095,0.285714286,0,0,0,0,0.05,0,0.619047619
WSP2,11,3,0,1,0,0,0,0,31,14,17,0.35483871,0.096774194,0,0.03,0,0,0,0,0.548387097
